year,affective_polarization,trust_deficit,income_inequality,legislative_polarization,epistemic_fragmentation,elite_misalignment,fiscal_stress_tau,political_responsiveness,institutional_capture,cultural_solidarity,household_economic_security,composite
1972,14,22,30,28,18,22,12,18,15,22,18,20
1976,15,30,31,30,19,25,17,20,18,25,22,23
1980,16,35,34,34,22,30,19,22,22,30,28,27
1984,16,32,37,38,24,34,34,26,28,35,30,30
1988,17,34,40,42,26,38,34,28,32,40,30,33
1992,20,40,43,48,30,43,38,33,38,44,32,37
1996,22,38,46,52,35,48,33,38,44,48,30,40
2000,25,35,50,58,40,55,21,42,52,52,28,42
2004,30,40,52,63,48,58,18,46,56,56,32,45
2008,36,48,54,68,55,60,20,52,60,60,44,51
2012,44,55,58,74,62,63,18,62,66,64,46,56
2016,56,62,61,80,70,67,14,70,70,68,50,61
2020,65,67,64,84,76,70,21,74,72,70,52,65
2024,70,71,66,86,79,72,36,78,74,72,66,70
2025,72,73,67,87,81,73,37,80,76,73,67,73
2026,74,75,68,88,83,74,39,81,77,74,68,75
